*************************************************************
Started running N queens at September 30th 2014, 7:41:07 pm*************************************************************
Found 1 solutions for N = 1 in 0 seconds
Found 0 solutions for N = 2 in 0.001 seconds
Found 0 solutions for N = 3 in 0 seconds
Found 2 solutions for N = 4 in 0 seconds
Found 10 solutions for N = 5 in 0 seconds
Found 4 solutions for N = 6 in 0 seconds
Found 40 solutions for N = 7 in 0 seconds
Found 92 solutions for N = 8 in 0 seconds
Found 352 solutions for N = 9 in 0.002 seconds
Found 724 solutions for N = 10 in 0 seconds
Found 2680 solutions for N = 11 in 0.002 seconds
Found 14200 solutions for N = 12 in 0.01 seconds
Found 73712 solutions for N = 13 in 0.063 seconds
Found 365596 solutions for N = 14 in 0.336 seconds
Found 2279184 solutions for N = 15 in 2.529 seconds
Found 14772512 solutions for N = 16 in 14.324 seconds
*************************************************************
Started running N queens at September 30th 2014, 7:41:42 pm*************************************************************
Found 1 solutions for N = 1 in 0 seconds
Found 0 solutions for N = 2 in 0 seconds
Found 0 solutions for N = 3 in 0 seconds
Found 2 solutions for N = 4 in 0 seconds
Found 10 solutions for N = 5 in 0 seconds
Found 4 solutions for N = 6 in 0 seconds
Found 40 solutions for N = 7 in 0 seconds
Found 92 solutions for N = 8 in 0 seconds
*************************************************************
Started running N queens at September 30th 2014, 7:42:25 pm
*************************************************************
Found 1 solutions for N = 1 in 0 seconds
Found 0 solutions for N = 2 in 0 seconds
Found 0 solutions for N = 3 in 0.001 seconds
Found 2 solutions for N = 4 in 0 seconds
Found 10 solutions for N = 5 in 0 seconds
Found 4 solutions for N = 6 in 0 seconds
Found 40 solutions for N = 7 in 0 seconds
Found 92 solutions for N = 8 in 0 seconds
*************************************************************
Started running N queens at November 3rd 2014, 11:20:28 am
*************************************************************
Found 1 solutions for N = 1 in 0 seconds
Found 0 solutions for N = 2 in 0.001 seconds
Found 0 solutions for N = 3 in 0 seconds
Found 2 solutions for N = 4 in 0 seconds
Found 10 solutions for N = 5 in 0 seconds
Found 4 solutions for N = 6 in 0 seconds
Found 40 solutions for N = 7 in 0 seconds
Found 92 solutions for N = 8 in 0 seconds
Found 352 solutions for N = 9 in 0.002 seconds
Found 724 solutions for N = 10 in 0 seconds
Found 2680 solutions for N = 11 in 0.003 seconds
Found 14200 solutions for N = 12 in 0.01 seconds
Found 73712 solutions for N = 13 in 0.062 seconds
Found 365596 solutions for N = 14 in 0.325 seconds
Found 2279184 solutions for N = 15 in 2.205 seconds
Found 14772512 solutions for N = 16 in 13.648 seconds
*************************************************************
Started running N queens at November 3rd 2014, 11:20:52 am
*************************************************************
Found 1 solutions for N = 1 in 0 seconds
Found 0 solutions for N = 2 in 0 seconds
Found 0 solutions for N = 3 in 0 seconds
Found 2 solutions for N = 4 in 0 seconds
Found 10 solutions for N = 5 in 0 seconds
Found 4 solutions for N = 6 in 0 seconds
Found 40 solutions for N = 7 in 0.001 seconds
Found 92 solutions for N = 8 in 0 seconds
Found 352 solutions for N = 9 in 0.002 seconds
Found 724 solutions for N = 10 in 0.001 seconds
Found 2680 solutions for N = 11 in 0.002 seconds
Found 14200 solutions for N = 12 in 0.011 seconds
Found 73712 solutions for N = 13 in 0.062 seconds
Found 365596 solutions for N = 14 in 0.335 seconds
Found 2279184 solutions for N = 15 in 2.415 seconds
Found 14772512 solutions for N = 16 in 13.542 seconds
Found 95815104 solutions for N = 17 in 101.007 seconds
